id,value
id_0,25.69268374
id_1,63.51742731
id_2,19.78632444
id_3,29.84220157
id_4,9.129803406
id_5,34.04761008
id_6,40.9954801
id_7,18.35509984
id_8,52.49942732
id_9,32.96449486
id_10,38.73601614
id_11,57.99315445
id_12,35.18988935
id_13,43.20868217
id_14,26.52993411
id_15,12.45087108
id_16,50.56376048
id_17,23.14489077
id_18,17.60049837
id_19,18.0198537
id_20,15.22653667
id_21,30.32275996
id_22,38.59435979
id_23,10.10349052
id_24,60.96904479
id_25,47.34269324
id_26,27.28645933
id_27,7.200696815
id_28,28.73261169
id_29,37.55947823
id_30,18.59526613
id_31,11.84319573
id_32,16.57538283
id_33,6.793703645
id_34,16.68795654
id_35,40.01794931
id_36,20.860523
id_37,27.19295947
id_38,10.04488646
id_39,58.31328253
id_40,45.86610527
id_41,18.22334918
id_42,52.92138949
id_43,18.90268932
id_44,43.41552097
id_45,51.42419772
id_46,57.36120058
id_47,41.75896748
id_48,56.58533027
id_49,38.3486886
id_50,29.80393234
id_51,23.31492578
id_52,40.49052238
id_53,22.88227885
id_54,37.51460339
id_55,40.37872743
id_56,24.83705647
id_57,21.45311763
id_58,36.97110584
id_59,31.44562055
id_60,13.64680547
id_61,23.34824748
id_62,30.93182844
id_63,52.47455871
id_64,50.30250715
id_65,26.99181387
id_66,37.36512427
id_67,53.51365736
id_68,27.73309174
id_69,38.25912401
id_70,64.19377911
id_71,55.40969619
id_72,42.17392499
id_73,12.09840036
id_74,12.86780094
id_75,35.59769733
id_76,60.714878
id_77,1.004811991
id_78,41.6238105
id_79,41.07611403
id_80,8.940840831
id_81,23.37974184
id_82,6.53978865
id_83,30.52647482
id_84,9.286497672
id_85,5.876542958
id_86,16.83443933
id_87,11.45335204
id_88,19.57994547
id_89,27.03875916
id_90,35.49147755
id_91,13.550042
id_92,12.02436032
id_93,10.1054434
id_94,37.94580876
id_95,15.36950277
id_96,16.77141684
id_97,8.94562925
id_98,12.00793735
id_99,5.984564184
id_100,10.07602644
id_101,17.35894157
id_102,12.20793602
id_103,8.092119094
id_104,12.72089848
id_105,37.22993906
id_106,25.96002024
id_107,6.810479586
id_108,15.92971987
id_109,15.29223557
id_110,12.23718671
id_111,16.29162991
id_112,16.41375305
id_113,26.31670448
id_114,21.13409655
id_115,17.30410881
id_116,7.092643496
id_117,44.99503078
id_118,25.60135894
id_119,1.107405641
id_120,0
id_121,8.963367248
id_122,12.60893536
id_123,12.57976297
id_124,7.481677413
id_125,25.0512891
id_126,20.56921083
id_127,9.720576044
id_128,20.41925172
id_129,15.80227825
id_130,1.416728638
id_131,33.38617361
id_132,15.30487302
id_133,22.3020972
id_134,26.74615725
id_135,22.76985119
id_136,9.250824776
id_137,21.03646038
id_138,79.32030226
id_139,62.78977048
id_140,26.61552079
id_141,18.60415293
id_142,25.26546198
id_143,6.965134592
id_144,11.71058068
id_145,10.29271032
id_146,17.75868788
id_147,8.096084534
id_148,11.50232197
id_149,14.27019797
id_150,46.80612326
id_151,20.19833771
id_152,23.07697469
id_153,14.99451936
id_154,14.25420495
id_155,24.70555492
id_156,24.54460569
id_157,36.6276996
id_158,3.918547301
id_159,21.56913521
id_160,45.05412887
id_161,19.45854609
id_162,65.13628155
id_163,17.64712333
id_164,34.41757097
id_165,24.4466038
id_166,23.93832825
id_167,1.882581832
id_168,67.52529742
id_169,16.6924103
id_170,16.16186752
id_171,68.73035871
id_172,21.87542474
id_173,1.985261081
id_174,23.73802169
id_175,2.112052244
id_176,7.01725218
id_177,19.67193171
id_178,20.39701444
id_179,23.65841511
id_180,43.59789094
id_181,32.10327093
id_182,28.47394806
id_183,12.57597991
id_184,6.654289405
id_185,42.90005374
id_186,36.13060995
id_187,34.60887556
id_188,15.8834125
id_189,22.19889426
id_190,14.48487206
id_191,16.1924875
id_192,31.3257846
id_193,66.53914042
id_194,29.53273035
id_195,12.63060026
id_196,62.59705554
id_197,16.03106663
id_198,19.13627401
id_199,20.12263631
id_200,124.7005078
id_201,25.21988951
id_202,57.77734424
id_203,5.667916817
id_204,59.30740756
id_205,35.98864137
id_206,14.75259559
id_207,14.23380958
id_208,62.56176333
id_209,15.43090963
id_210,37.6258751
id_211,70.53698048
id_212,18.00550247
id_213,113.2036721
id_214,41.97168491
id_215,77.7079249
id_216,93.41825636
id_217,70.55341747
id_218,29.43234307
id_219,19.62058236
id_220,30.79833899
id_221,58.33265378
id_222,27.5265428
id_223,38.04641786
id_224,42.84476408
id_225,10.15886338
id_226,3.536114361
id_227,82.67992532
id_228,30.72076675
id_229,1.795760624
id_230,39.99502153
id_231,15.9529051
id_232,22.1310962
id_233,8.339538228
id_234,14.00038302
id_235,23.88568471
id_236,13.20354213
id_237,2.654428628
id_238,21.28284251
id_239,11.63636705
