id,value
id_0,26.1804795359876
id_1,65.05297266981009
id_2,19.12717315741338
id_3,29.083603501278617
id_4,9.688378758570376
id_5,34.059394854209295
id_6,41.208555109275835
id_7,18.834557450225276
id_8,50.23059425051196
id_9,32.8446334792362
id_10,39.4889835264457
id_11,58.65965393180511
id_12,35.27822260761553
id_13,42.462605545574746
id_14,27.32027942909033
id_15,13.220444430620944
id_16,51.28205986912312
id_17,23.95458717763217
id_18,17.64170437957742
id_19,17.192493596415833
id_20,13.97267836496782
id_21,29.966254664311585
id_22,38.85626041137382
id_23,11.682255459358089
id_24,60.75479523040427
id_25,47.380784286130016
id_26,27.83299577291494
id_27,6.557471742997452
id_28,28.73345545035706
id_29,36.293048806451154
id_30,17.859746153593374
id_31,11.777375236240095
id_32,17.07204175100686
id_33,9.10629355364609
id_34,17.064879373742578
id_35,39.385942777373
id_36,20.269289704316634
id_37,27.483404029203896
id_38,9.509027155509845
id_39,58.792994978966945
id_40,45.764522564583146
id_41,18.677983424204044
id_42,53.68931941569609
id_43,18.936488851475954
id_44,44.405572132177795
id_45,52.75161504036862
id_46,57.48231968230875
id_47,42.02546899549764
id_48,57.29174514580713
id_49,38.20161112218012
id_50,29.04884159575751
id_51,22.98017936096233
id_52,41.950204745292844
id_53,23.320907087105834
id_54,37.793857634274396
id_55,41.40449670986383
id_56,24.749123077157495
id_57,21.545223549363044
id_58,36.98660391266155
id_59,30.730056497830272
id_60,13.72023163368944
id_61,21.524755312323176
id_62,30.633277028108438
id_63,52.68846720808127
id_64,49.05449706211227
id_65,26.756651975763557
id_66,37.68775408070185
id_67,51.62007145251852
id_68,27.31485836809132
id_69,37.76615916510075
id_70,64.73343912227176
id_71,57.429576128561116
id_72,41.99679156085464
id_73,10.96900594046904
id_74,14.52906212831189
id_75,36.30326925920575
id_76,61.43484968414936
id_77,1.9357343317888114
id_78,42.4420596871364
id_79,39.472569619177335
id_80,8.497507049188599
id_81,23.176302040971315
id_82,8.301292404105805
id_83,30.56618067595103
id_84,10.946104648566578
id_85,5.964336512089434
id_86,16.297662408603074
id_87,11.506998038273032
id_88,20.548051644814294
id_89,27.834823994716665
id_90,36.357551539017265
id_91,13.84270396145778
id_92,12.39104507044858
id_93,10.279970981644171
id_94,38.184227999775814
id_95,14.555629485567112
id_96,16.65312549738276
id_97,8.398987401606313
id_98,10.649420480173138
id_99,7.4056877710220945
id_100,11.144768117169974
id_101,17.37547080855949
id_102,11.552732476682412
id_103,7.664971489524769
id_104,11.763971984929283
id_105,36.906625554901616
id_106,26.845234662514304
id_107,7.0018045774145055
id_108,16.37632286012855
id_109,14.377618635104563
id_110,12.699759824575883
id_111,16.145011282935126
id_112,16.021214732673396
id_113,26.236081693183486
id_114,21.382748271698684
id_115,18.247492488466474
id_116,6.580218807146622
id_117,44.11625370605107
id_118,25.65491635646675
id_119,2.1931123901586123
id_120,5.834231432385042
id_121,11.973806142140862
id_122,12.672041915455875
id_123,12.436194948717784
id_124,9.056129368760569
id_125,23.89224265783658
id_126,20.133069202440122
id_127,9.099906273036964
id_128,20.324424104479547
id_129,13.789520879965256
id_130,7.319767006028927
id_131,33.78541832382128
id_132,17.51524699948962
id_133,19.661533374006943
id_134,25.99375042263427
id_135,21.930713400212845
id_136,9.555820603159734
id_137,21.20260800868166
id_138,78.57727416584409
id_139,61.541435423528256
id_140,27.01964010386104
id_141,18.30057926930116
id_142,25.427651145860096
id_143,7.451357270321019
id_144,12.244741063031551
id_145,10.890033846761169
id_146,17.386443505483214
id_147,8.202578239128925
id_148,10.23482198504912
id_149,14.271131560233467
id_150,46.114527622713744
id_151,19.872437376135704
id_152,23.236708609503964
id_153,15.155122924947761
id_154,15.348179112020794
id_155,24.4958297398887
id_156,22.788646752128184
id_157,37.26545905294267
id_158,4.9701269554206124
id_159,21.077425560920005
id_160,43.413087780968795
id_161,19.816285374314436
id_162,65.41714405134154
id_163,17.69884241893216
id_164,35.268091566238596
id_165,24.546299476911862
id_166,23.949681635244914
id_167,3.1960729711405733
id_168,67.43328894588915
id_169,17.404980920298232
id_170,16.474107760457507
id_171,68.44959598839492
id_172,23.67037577120719
id_173,2.1511967036585897
id_174,23.3805063904966
id_175,4.831162085432929
id_176,6.708654094173749
id_177,19.7246104508524
id_178,20.404100256421124
id_179,24.854137381168925
id_180,44.58519096242424
id_181,32.53780430456822
id_182,28.820127550014618
id_183,12.547931108039679
id_184,6.458110752089205
id_185,43.09158067266978
id_186,36.44752918490082
id_187,34.927253538304264
id_188,16.233648797060898
id_189,23.03903721623361
id_190,14.546675334950091
id_191,15.593140868620754
id_192,30.78848204118254
id_193,66.10291934217823
id_194,28.010737445874135
id_195,12.014899803969515
id_196,60.54789739087392
id_197,15.5143866469682
id_198,19.24215399698282
id_199,20.682197339463332
