id,value
id_0,19.814899980509704
id_1,32.41415597018483
id_2,25.42789482516802
id_3,27.071744041639864
id_4,19.04904938546561
id_5,23.257110892016932
id_6,30.777311334846363
id_7,18.93042657278975
id_8,33.49158330342316
id_9,20.387965416120107
id_10,26.51416230225477
id_11,26.1019892073457
id_12,27.197498136083457
id_13,19.464810621310242
id_14,29.38473422447068
id_15,18.784519596320344
id_16,29.63851286428302
id_17,26.14917207131457
id_18,19.33644024241878
id_19,20.46080458304883
id_20,18.902290374410537
id_21,23.83543348165827
id_22,28.696349538919506
id_23,27.51206592411236
id_24,34.8295371293194
id_25,18.519526569080394
id_26,21.933139580440713
id_27,21.03080125645366
id_28,24.87154394646196
id_29,16.819084660631074
id_30,16.114339336399606
id_31,15.47457546138665
id_32,21.105379289955877
id_33,21.776109891963426
id_34,20.160305131892702
id_35,31.27278413371742
id_36,23.20359587666695
id_37,22.604843069220127
id_38,21.545549386588956
id_39,28.44438016436938
id_40,22.649962866948755
id_41,23.371219566920736
id_42,26.569692872411476
id_43,22.147634038726547
id_44,19.858152795230662
id_45,28.963535026185145
id_46,28.463003776863804
id_47,23.983710559483537
id_48,21.20982602148781
id_49,20.080722149411802
id_50,25.575380142180347
id_51,21.733105709183643
id_52,22.084259066682865
id_53,21.599901145976062
id_54,25.419485506329078
id_55,25.69442808889782
id_56,22.867917274183135
id_57,22.320289095822403
id_58,22.85516733789508
id_59,28.342457367485714
id_60,18.55111406256601
id_61,30.28835194718882
id_62,26.162448569617386
id_63,26.733071249056966
id_64,27.065761543769735
id_65,23.579683340736008
id_66,28.41258866242216
id_67,30.186656038291748
id_68,25.33155869534861
id_69,27.140093432959855
id_70,29.79055259969689
id_71,34.74728885011171
id_72,29.289851487845198
id_73,19.909159717426782
id_74,20.562810034743023
id_75,29.894254233392566
id_76,31.993832057836986
id_77,19.603138470074516
id_78,30.629961363191264
id_79,27.39026586432705
id_80,17.32972080282282
id_81,17.049107662456393
id_82,15.683611493216908
id_83,24.874576801757666
id_84,18.088422563604198
id_85,17.771104625179085
id_86,16.057998550361162
id_87,20.1238538954921
id_88,21.263158348159795
id_89,18.374147185887313
id_90,20.89878320768818
id_91,17.180189848270807
id_92,21.05706335312085
id_93,17.065624315547286
id_94,21.526122775084954
id_95,21.572373441885947
id_96,18.199002172444604
id_97,16.272593033502584
id_98,13.927236581508643
id_99,17.492494223462344
id_100,16.964504287841184
id_101,20.03400870580427
id_102,18.804139957693067
id_103,16.384498416068123
id_104,18.358028123083493
id_105,18.643731109225335
id_106,20.867510024728315
id_107,18.13655393000926
id_108,18.90366877231227
id_109,15.56141502264084
id_110,19.360541163288158
id_111,19.054290148484142
id_112,17.538179728475818
id_113,19.25748852488724
id_114,21.119871508886522
id_115,16.795314854554853
id_116,18.407201605145318
id_117,20.863838962360976
id_118,26.35646607113461
id_119,16.05109645232371
id_120,15.222433081021085
id_121,17.073151377480663
id_122,18.000744332293298
id_123,15.111785701342123
id_124,19.066818317872027
id_125,19.971554485368184
